channels,cnn_layers,fc_layers,param_count,rmse,train_time_s
8,1,1,179,0.0702246,60.12
8,1,2,251,0.165128,64.99
8,1,3,323,0.0687236,71.98
8,1,4,395,0.0640225,76.06
8,2,1,763,0.0588986,77.88
8,2,2,835,0.0491894,80.49
8,1,5,467,0.0668413,84.58
8,1,6,539,0.0688849,88.96
8,1,7,611,0.0648759,90.88
8,1,8,683,0.0628999,98.86
8,2,3,907,0.0408404,84.71
8,2,4,979,0.0398269,90.39
8,3,1,1347,0.0490509,93.59
8,3,2,1419,0.0481241,97.70
8,2,5,1051,0.0461155,98.14
8,2,6,1123,0.038836,104.34
8,3,3,1491,0.0318817,104.29
8,2,7,1195,0.0402752,107.30
8,3,4,1563,0.0279593,111.08
8,2,8,1267,0.0463995,116.30
8,4,1,1931,0.0257419,112.49
8,3,5,1635,0.0389729,112.11
8,3,6,1707,0.0335851,115.05
8,4,2,2003,0.0383617,117.91
8,4,3,2075,0.0255768,122.75
8,3,7,1779,0.0241363,125.25
8,4,4,2147,0.0215234,126.55
8,3,8,1851,0.04743,128.31
8,4,5,2219,0.0170784,133.01
8,4,6,2291,0.028221,138.88
8,5,1,2515,0.0428658,133.54
8,5,2,2587,0.0322772,138.04
8,4,7,2363,0.0208547,139.82
8,5,3,2659,0.0206199,141.45
8,4,8,2435,0.0166011,144.64
8,5,4,2731,0.0243457,148.95
8,5,5,2803,0.0144007,153.48
8,5,6,2875,0.0228126,156.43
8,5,7,2947,0.0219527,164.16
8,5,8,3019,0.0374953,167.11
8,6,1,3099,0.0299733,149.97
8,6,2,3171,0.0270053,155.82
8,6,3,3243,0.0260682,163.31
8,6,4,3315,0.0456022,168.04
8,6,5,3387,0.0173125,172.15
8,7,1,3683,0.0168344,175.78
8,6,6,3459,0.0133153,178.83
8,7,2,3755,0.0299337,179.65
8,6,7,3531,0.0154968,184.40
8,6,8,3603,0.0136494,185.95
8,7,3,3827,0.0171663,182.15
8,7,4,3899,0.0222161,186.49
8,7,5,3971,0.0144953,195.46
8,8,1,4267,0.0248384,194.95
8,7,6,4043,0.0153842,197.64
8,8,2,4339,0.0596304,198.61
8,7,7,4115,0.0147433,201.74
8,8,3,4411,0.02402,205.72
8,8,4,4483,0.0280642,210.47
8,7,8,4187,0.0269882,210.05
16,1,1,483,0.0689154,60.83
16,1,2,755,0.0641493,67.29
16,1,3,1027,0.0614019,72.12
16,1,4,1299,0.0746476,76.03
16,1,5,1571,0.0738895,83.01
16,1,6,1843,0.0914886,89.26
8,8,5,4555,0.0137508,211.69
8,8,6,4627,0.0438002,218.00
8,8,7,4699,0.0398876,226.50
8,8,8,4771,0.0169083,228.92
16,1,7,2115,0.0837439,91.09
16,2,1,2803,0.0444429,97.69
16,1,8,2387,0.0644423,95.05
16,2,2,3075,0.0395027,102.63
16,2,3,3347,0.0395725,107.09
16,2,4,3619,0.0501413,113.17
16,2,5,3891,0.0436481,119.80
16,2,6,4163,0.0372335,120.78
16,2,7,4435,0.0368321,128.29
16,2,8,4707,0.040059,132.95
16,3,1,5123,0.0279812,141.58
16,3,2,5395,0.0272255,144.98
16,3,3,5667,0.0176,150.74
16,3,4,5939,0.0441068,155.66
16,3,5,6211,0.0183654,159.99
16,3,6,6483,0.0297617,165.75
16,3,7,6755,0.0204176,170.87
16,3,8,7027,0.0279427,173.32
